id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0,0.05000000074505806,0.1899999976158142
0.csv_Day7_0h30m,0.0,0.0,0.0,0.05000000074505806,0.019999999552965164,0.10999999940395355,0.03999999910593033,0.15000000596046448,0.25999999046325684
0.csv_Day7_1h00m,0.0,0.0,0.11999999731779099,0.05999999865889549,0.03999999910593033,0.11999999731779099,0.05000000074505806,0.25999999046325684,0.3799999952316284
0.csv_Day7_1h30m,0.0,0.0,0.11999999731779099,0.2199999988079071,0.20000000298023224,0.15000000596046448,0.09000000357627869,0.30000001192092896,0.5099999904632568
0.csv_Day7_2h00m,0.0,0.0,0.18000000715255737,0.38999998569488525,0.3100000023841858,0.2199999988079071,0.05000000074505806,0.30000001192092896,0.44999998807907104
0.csv_Day7_2h30m,0.0,0.0,0.10000000149011612,0.4000000059604645,0.36000001430511475,0.25999999046325684,0.07999999821186066,0.33000001311302185,0.3700000047683716
0.csv_Day7_3h00m,0.0,0.0,0.009999999776482582,0.4399999976158142,0.33000001311302185,0.2800000011920929,0.1599999964237213,0.3400000035762787,0.3400000035762787
0.csv_Day7_3h30m,0.0,0.0,0.0,0.4399999976158142,0.36000001430511475,0.4099999964237213,0.2199999988079071,0.3400000035762787,0.28999999165534973
0.csv_Day7_4h00m,0.0,0.0,0.0,0.3199999928474426,0.3100000023841858,0.4300000071525574,0.28999999165534973,0.3700000047683716,0.30000001192092896
0.csv_Day7_4h30m,0.0,0.0,0.0,0.36000001430511475,0.44999998807907104,0.4099999964237213,0.3199999928474426,0.3199999928474426,0.5299999713897705
0.csv_Day7_5h00m,0.0,0.0,0.0,0.3199999928474426,0.36000001430511475,0.44999998807907104,0.3700000047683716,0.38999998569488525,0.75
0.csv_Day7_5h30m,0.0,0.0,0.0,0.05000000074505806,0.28999999165534973,0.44999998807907104,0.38999998569488525,0.46000000834465027,1.0299999713897705
0.csv_Day7_6h00m,0.0,0.03999999910593033,0.0,0.019999999552965164,0.2800000011920929,0.3799999952316284,0.4399999976158142,0.6499999761581421,1.340000033378601
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.20999999344348907,0.3199999928474426,0.5299999713897705,0.949999988079071,2.009999990463257
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.3100000023841858,0.5400000214576721,1.2999999523162842,1.809999942779541,3.569999933242798
0.csv_Day7_7h30m,0.029999999329447746,1.0399999618530273,0.3400000035762787,0.4300000071525574,1.5299999713897705,1.75,3.109999895095825,4.420000076293945,6.739999771118164
0.csv_Day7_8h00m,2.5799999237060547,3.609999895095825,3.75,3.809999942779541,4.900000095367432,4.96999979019165,6.630000114440918,9.34000015258789,12.010000228881836
0.csv_Day7_8h30m,5.539999961853027,6.130000114440918,7.889999866485596,8.920000076293945,10.079999923706055,9.789999961853027,11.819999694824219,15.390000343322754,18.829999923706055
0.csv_Day7_9h00m,9.130000114440918,9.579999923706055,12.880000114440918,14.510000228881836,16.719999313354492,15.619999885559082,18.030000686645508,21.920000076293945,25.299999237060547
0.csv_Day7_9h30m,13.430000305175781,15.65999984741211,18.3700008392334,21.06999969482422,24.81999969482422,22.600000381469727,24.549999237060547,27.440000534057617,30.8799991607666
0.csv_Day7_10h00m,18.25,22.559999465942383,24.690000534057617,27.40999984741211,31.979999542236328,29.059999465942383,30.450000762939453,31.770000457763672,35.47999954223633
0.csv_Day7_10h30m,22.739999771118164,27.65999984741211,30.06999969482422,32.790000915527344,37.16999816894531,33.68000030517578,34.779998779296875,35.27000045776367,38.689998626708984
0.csv_Day7_11h00m,25.979999542236328,31.3799991607666,32.5099983215332,35.09000015258789,40.720001220703125,36.459999084472656,36.84000015258789,37.310001373291016,40.27000045776367
0.csv_Day7_11h30m,26.84000015258789,33.02000045776367,33.56999969482422,34.65999984741211,42.279998779296875,37.15999984741211,37.459999084472656,38.09000015258789,40.93000030517578
0.csv_Day7_12h00m,27.18000030517578,33.7400016784668,33.11000061035156,34.290000915527344,42.40999984741211,37.08000183105469,37.34000015258789,38.15999984741211,41.22999954223633
0.csv_Day7_12h30m,24.979999542236328,32.09000015258789,32.880001068115234,32.810001373291016,41.040000915527344,36.029998779296875,36.56999969482422,37.83000183105469,41.2599983215332
0.csv_Day7_13h00m,23.549999237060547,30.1299991607666,30.239999771118164,29.43000030517578,38.970001220703125,34.09000015258789,34.90999984741211,36.439998626708984,40.34000015258789
0.csv_Day7_13h30m,21.360000610351562,26.6299991607666,27.31999969482422,25.56999969482422,36.25,31.1299991607666,32.43000030517578,34.68000030517578,38.97999954223633
0.csv_Day7_14h00m,18.06999969482422,25.06999969482422,26.020000457763672,24.40999984741211,34.189998626708984,29.65999984741211,30.850000381469727,33.33000183105469,37.75
0.csv_Day7_14h30m,17.079999923706055,22.84000015258789,24.219999313354492,23.34000015258789,31.520000457763672,27.93000030517578,28.520000457763672,31.25,35.540000915527344
0.csv_Day7_15h00m,15.4399995803833,20.15999984741211,21.040000915527344,20.540000915527344,27.360000610351562,25.219999313354492,25.079999923706055,27.670000076293945,31.579999923706055
0.csv_Day7_15h30m,13.380000114440918,16.479999542236328,16.190000534057617,15.59000015258789,21.139999389648438,19.450000762939453,19.06999969482422,21.969999313354492,25.399999618530273
0.csv_Day7_16h00m,9.329999923706055,11.850000381469727,9.869999885559082,9.609999656677246,13.539999961853027,12.380000114440918,11.899999618530273,15.0,18.420000076293945
0.csv_Day7_16h30m,4.110000133514404,6.099999904632568,3.5299999713897705,3.700000047683716,6.869999885559082,6.059999942779541,5.369999885559082,8.210000038146973,12.0
0.csv_Day7_17h00m,1.0099999904632568,2.9200000762939453,0.10999999940395355,0.6200000047683716,2.890000104904175,2.7300000190734863,1.8300000429153442,4.320000171661377,7.010000228881836
0.csv_Day7_17h30m,0.28999999165534973,2.1600000858306885,0.0,0.0,1.159999966621399,1.340000033378601,0.5099999904632568,2.509999990463257,4.079999923706055
0.csv_Day7_18h00m,0.0,1.4800000190734863,0.0,0.0,0.6399999856948853,0.6499999761581421,0.11999999731779099,1.4600000381469727,2.359999895095825
0.csv_Day7_18h30m,0.12999999523162842,0.9399999976158142,0.0,0.0,0.28999999165534973,0.27000001072883606,0.09000000357627869,0.9900000095367432,1.1399999856948853
0.csv_Day7_19h00m,0.25,0.4000000059604645,0.0,0.0,0.07000000029802322,0.20999999344348907,0.0,0.7400000095367432,0.5199999809265137
0.csv_Day7_19h30m,0.25999999046325684,0.38999998569488525,0.0,0.0,0.05000000074505806,0.12999999523162842,0.0,0.5099999904632568,0.27000001072883606
0.csv_Day7_20h00m,0.029999999329447746,0.1899999976158142,0.0,0.0,0.10000000149011612,0.1599999964237213,0.05999999865889549,0.3400000035762787,0.18000000715255737
0.csv_Day7_20h30m,0.0,0.12999999523162842,0.0,0.05999999865889549,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.18000000715255737,0.1599999964237213
0.csv_Day7_21h00m,0.0,0.14000000059604645,0.0,0.09000000357627869,0.009999999776482582,0.0,0.029999999329447746,0.019999999552965164,0.1599999964237213
0.csv_Day7_21h30m,0.0,0.12999999523162842,0.0,0.10999999940395355,0.0,0.0,0.0,0.0,0.17000000178813934
0.csv_Day7_22h00m,0.0,0.05000000074505806,0.0,0.05999999865889549,0.0,0.0,0.0,0.0,0.05999999865889549
0.csv_Day7_22h30m,0.0,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999910593033
0.csv_Day7_23h00m,0.09000000357627869,0.019999999552965164,0.0,0.0,0.029999999329447746,0.0,0.0,0.0,0.009999999776482582
0.csv_Day7_23h30m,0.3199999928474426,0.009999999776482582,0.0,0.0,0.07000000029802322,0.0,0.019999999552965164,0.0,0.10000000149011612
0.csv_Day8_0h00m,0.25,0.0,0.0,0.0,0.029999999329447746,0.03999999910593033,0.11999999731779099,0.0,0.20999999344348907
0.csv_Day8_0h30m,0.30000001192092896,0.0,0.0,0.0,0.12999999523162842,0.05999999865889549,0.14000000059604645,0.05999999865889549,0.23999999463558197
0.csv_Day8_1h00m,0.3100000023841858,0.0,0.0,0.0,0.1599999964237213,0.0,0.1599999964237213,0.10000000149011612,0.28999999165534973
0.csv_Day8_1h30m,0.3199999928474426,0.0,0.05999999865889549,0.009999999776482582,0.10999999940395355,0.0,0.1599999964237213,0.07999999821186066,0.20000000298023224
0.csv_Day8_2h00m,0.25,0.0,0.12999999523162842,0.05999999865889549,0.10999999940395355,0.0,0.15000000596046448,0.09000000357627869,0.17000000178813934
0.csv_Day8_2h30m,0.10000000149011612,0.0,0.10000000149011612,0.05000000074505806,0.07999999821186066,0.0,0.10999999940395355,0.15000000596046448,0.18000000715255737
0.csv_Day8_3h00m,0.0,0.0,0.07000000029802322,0.0,0.05999999865889549,0.009999999776482582,0.12999999523162842,0.05000000074505806,0.12999999523162842
0.csv_Day8_3h30m,0.0,0.14000000059604645,0.0,0.0,0.10000000149011612,0.10999999940395355,0.15000000596046448,0.0,0.0
0.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.17000000178813934,0.18000000715255737,0.17000000178813934,0.0,0.029999999329447746
0.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.23000000417232513,0.20999999344348907,0.25,0.0,0.25999999046325684
0.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.18000000715255737,0.25,0.27000001072883606,0.07999999821186066,0.3799999952316284
0.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.20000000298023224,0.3700000047683716,0.33000001311302185,0.23999999463558197,0.6299999952316284
0.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.18000000715255737,0.41999998688697815,0.4399999976158142,0.6399999856948853,1.0399999618530273
0.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.23999999463558197,0.7200000286102295,0.6899999976158142,1.159999966621399,1.6799999475479126
0.csv_Day8_7h00m,0.0,0.0,0.33000001311302185,0.0,0.7400000095367432,1.090000033378601,1.5499999523162842,2.2699999809265137,3.359999895095825
0.csv_Day8_7h30m,0.0,1.190000057220459,2.0199999809265137,0.6700000166893005,2.2699999809265137,2.559999942779541,3.7699999809265137,5.190000057220459,6.610000133514404
0.csv_Day8_8h00m,0.0,3.819999933242798,5.179999828338623,4.320000171661377,6.079999923706055,6.190000057220459,8.109999656677246,10.359999656677246,12.0600004196167
0.csv_Day8_8h30m,1.5499999523162842,8.319999694824219,9.949999809265137,9.569999694824219,11.5600004196167,11.4399995803833,13.609999656677246,16.59000015258789,18.59000015258789
0.csv_Day8_9h00m,6.210000038146973,12.65999984741211,15.579999923706055,16.329999923706055,18.420000076293945,17.43000030517578,19.760000228881836,22.850000381469727,24.90999984741211
0.csv_Day8_9h30m,10.710000038146973,18.09000015258789,21.709999084472656,24.0,25.790000915527344,23.969999313354492,26.239999771118164,27.969999313354492,30.079999923706055
0.csv_Day8_10h00m,15.039999961853027,22.81999969482422,27.3799991607666,30.829999923706055,32.790000915527344,30.0,32.02000045776367,31.8799991607666,34.09000015258789
0.csv_Day8_10h30m,18.170000076293945,28.469999313354492,32.619998931884766,35.970001220703125,36.970001220703125,34.56999969482422,36.040000915527344,34.97999954223633,37.04999923706055
0.csv_Day8_11h00m,20.09000015258789,34.13999938964844,35.66999816894531,38.9900016784668,39.08000183105469,37.119998931884766,37.880001068115234,36.70000076293945,38.630001068115234
0.csv_Day8_11h30m,21.3799991607666,36.15999984741211,37.220001220703125,39.529998779296875,39.90999984741211,37.70000076293945,38.27000045776367,37.560001373291016,39.40999984741211
