,0,1
0,-8.111622e-05,-0.0001487378
1,-8.111622e-05,-0.0001487378
2,-8.111622e-05,-0.0001487378
3,-8.111622e-05,-0.0001487378
4,-8.111622e-05,-0.0001487378
5,-8.111622e-05,-0.0001487378
6,-8.111622e-05,-0.0001487378
7,-8.111622e-05,-0.0001487378
8,-8.111622e-05,-0.0001487378
9,-8.111622e-05,-0.0001487378
10,-8.111622e-05,-0.0001487378
11,-8.111622e-05,-0.0001487378
12,-8.111622e-05,-0.0001487378
13,-8.111622e-05,-0.0001487378
14,-8.111622e-05,-0.0001487378
15,-8.111622e-05,-0.0001487378
16,-8.111622e-05,-0.0001487378
17,-8.111622e-05,-0.0001487378
18,-8.111622e-05,-0.0001487378
19,-8.111622e-05,-0.0001487378
20,-8.111622e-05,-0.0001487378
21,-8.111622e-05,-0.0001487378
22,-8.111622e-05,-0.0001487378
23,-8.111622e-05,-0.0001487378
24,-8.111622e-05,-0.0001487378
25,-8.111622e-05,-0.0001487378
26,-8.111622e-05,-0.0001487378
27,-8.111622e-05,-0.0001487378
28,-8.111622e-05,-0.0001487378
29,-8.111622e-05,-0.0001487378
30,-8.111622e-05,-0.0001487378
31,-8.111622e-05,-0.0001487378
32,-8.111622e-05,-0.0001487378
33,-8.111622e-05,-0.0001487378
34,-8.111622e-05,-0.0001487378
35,-8.111622e-05,-0.0001487378
36,-8.111622e-05,-0.0001487378
37,-8.111622e-05,-0.0001487378
38,-8.111622e-05,-0.0001487378
39,-8.111622e-05,-0.0001487378
40,-8.111622e-05,-0.0001487378
41,-8.111622e-05,-0.0001487378
42,-8.111622e-05,-0.0001487378
43,-8.111622e-05,-0.0001487378
44,-8.111622e-05,-0.0001487378
45,-8.111622e-05,-0.0001487378
46,-8.111622e-05,-0.0001487378
47,-8.111622e-05,-0.0001487378
48,-8.111622e-05,-0.0001487378
49,-8.111622e-05,-0.0001487378
50,-8.111622e-05,-0.0001487378
51,-8.111622e-05,-0.0001487378
52,-8.111622e-05,-0.0001487378
53,-8.111622e-05,-0.0001487378
54,-8.111622e-05,-0.0001487378
55,-8.111622e-05,-0.0001487378
56,-8.111622e-05,-0.0001487378
57,-8.111622e-05,-0.0001487378
58,-8.111622e-05,-0.0001487378
59,-8.111622e-05,-0.0001487378
60,-8.111622e-05,-0.0001487378
61,-8.111622e-05,-0.0001487378
62,-8.111622e-05,-0.0001487378
63,-8.111622e-05,-0.0001487378
64,-8.111622e-05,-0.0001487378
65,-8.111622e-05,-0.0001487378
66,-8.111622e-05,-0.0001487378
67,-8.111622e-05,-0.0001487378
68,-8.111622e-05,-0.0001487378
69,-8.111622e-05,-0.0001487378
70,-8.111622e-05,-0.0001487378
71,-8.111622e-05,-0.0001487378
72,-8.111622e-05,-0.0001487378
73,-8.111622e-05,-0.0001487378
74,-8.111622e-05,-0.0001487378
75,-8.111622e-05,-0.0001487378
76,-8.111622e-05,-0.0001487378
77,-8.111622e-05,-0.0001487378
78,-8.111622e-05,-0.0001487378
79,-8.111622e-05,-0.0001487378
80,-8.111622e-05,-0.0001487378
