,0,1
0,5.003295,5.5029416
1,4.217238,4.5993414
2,5.1848583,5.6912174
3,5.1724296,5.67427
4,4.8821464,5.3382826
5,5.424467,5.850476
6,6.0284476,6.4684253
7,5.2566557,5.7250476
8,4.759337,5.2079926
9,5.3355722,5.786413
10,5.306502,5.7228246
11,5.4595437,5.9032683
12,5.1498117,5.6480665
13,5.667593,6.192436
14,5.399539,5.855946
15,5.2241483,5.7301407
16,5.3951,5.9488034
17,5.7602444,6.2725463
18,3.9635935,4.2831287
19,3.7831306,4.0951753
20,5.331734,5.7895455
21,4.8964105,5.325005
22,5.0741253,5.55423
23,5.030201,5.3991604
24,5.361213,5.835877
25,4.552442,4.9944625
26,4.6471486,5.041874
27,5.466212,5.8847756
28,5.5589166,6.0719547
29,4.841908,5.328478
30,5.168597,5.669249
31,6.3405547,6.8801246
32,5.655838,6.2458897
33,4.694942,4.9667783
34,3.7614584,4.091719
35,5.1670475,5.6201615
36,5.137314,5.512833
37,3.2133415,3.482214
38,4.6562705,5.0812616
39,5.5134215,6.0533695
40,5.0828657,5.5238347
41,5.787577,6.345658
42,5.55703,6.000916
43,4.691965,5.1249933
44,5.547229,6.1417694
45,3.8460336,4.1838136
46,5.2379417,5.72108
47,5.3108716,5.817657
48,6.6721644,7.349415
49,5.5539436,6.000664
50,5.261139,5.7979655
51,3.5812066,3.8401399
52,4.457654,4.8274918
53,4.6126056,4.9931636
54,5.1051245,5.423131
55,4.21544,4.4717827
56,4.259799,4.643141
57,3.7533484,4.0681195
58,5.930187,6.4510593
59,5.481027,5.96431
60,4.9858875,5.3949203
61,5.225923,5.610513
62,4.6635485,5.015845
63,5.3614664,5.6723585
64,5.3015313,5.6312637
65,4.613373,5.007818
66,4.9344053,5.19628
67,5.1673546,5.675448
68,5.527957,5.9535584
69,4.8331113,5.128588
70,5.7268605,6.186112
71,4.9306655,5.374462
72,5.62973,6.109069
73,4.5899997,5.0052423
74,5.175969,5.65571
75,4.9091773,5.2595253
76,3.9067967,4.2604756
77,4.943356,5.2702456
78,5.359471,5.8467402
79,5.919144,6.5683208
80,5.0856194,5.4153824
