2021-04-10 22:44:29,159; INFO; NP.forecaster; _handle_missing_data; dropped 24 NAN row in 'y'
2021-04-10 22:44:29,171; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 64
2021-04-10 22:44:29,171; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 61
2021-04-10 22:44:32,400; INFO; NP.utils_torch; lr_range_test; lr-range-test results: steep: 1.39E-01, min: 4.18E-01
2021-04-10 22:44:32,401; INFO; NP.utils_torch; lr_range_test; learning rate range test selected lr: 2.90E-01
2021-04-10 22:45:35,638; INFO; NP.forecaster; _handle_missing_data; dropped 24 NAN row in 'y'
2021-04-10 22:45:35,648; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 64
2021-04-10 22:45:35,648; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 61
2021-04-10 22:45:38,773; INFO; NP.utils_torch; lr_range_test; lr-range-test results: steep: 3.11E-02, min: 3.51E-01
2021-04-10 22:45:38,774; INFO; NP.utils_torch; lr_range_test; learning rate range test selected lr: 1.56E-01
2021-04-10 22:45:49,658; INFO; NP.forecaster; _handle_missing_data; dropped 24 NAN row in 'y'
2021-04-10 22:45:49,668; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 64
2021-04-10 22:45:49,668; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 61
2021-04-10 22:45:52,807; INFO; NP.utils_torch; lr_range_test; lr-range-test results: steep: 2.77E-02, min: 3.13E-01
2021-04-10 22:45:52,808; INFO; NP.utils_torch; lr_range_test; learning rate range test selected lr: 1.39E-01
2021-04-10 22:46:33,936; INFO; NP.forecaster; _handle_missing_data; dropped 24 NAN row in 'y'
2021-04-10 22:46:33,944; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 64
2021-04-10 22:46:33,945; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 61
2021-04-10 22:46:37,102; INFO; NP.utils_torch; lr_range_test; lr-range-test results: steep: 9.86E-02, min: 5.90E-01
2021-04-10 22:46:37,102; INFO; NP.utils_torch; lr_range_test; learning rate range test selected lr: 3.25E-01
